Date,07/02/2020,Material,Brass,6min heating,,,,
Time,TempOne,TempTwo,TempThree,TempFour,TempFive,TempSix,TempSeven,Atmospheric
59278,308.28,287.21,285.09,283.34,283.21,283.53,283.21,285.84
59415,308.34,287.15,285.09,283.28,283.21,283.53,283.21,285.84
59552,308.34,287.15,285.03,283.28,283.21,283.53,283.21,285.9
59691,308.46,287.21,285.03,283.28,283.15,283.46,283.21,285.9
59828,308.46,287.21,285.03,283.28,283.15,283.46,283.21,285.9
59965,308.59,287.21,285.09,283.28,283.15,283.46,283.21,285.9
60102,308.59,287.21,285.09,283.34,283.15,283.46,283.21,285.9
60239,308.71,287.21,285.09,283.34,283.21,283.53,283.21,285.9
60377,308.71,287.28,285.09,283.28,283.21,283.53,283.15,285.9
60514,308.9,287.28,285.09,283.28,283.21,283.46,283.15,285.9
60652,309.03,287.28,285.09,283.28,283.21,283.59,283.21,285.9
60789,309.03,287.28,285.09,283.28,283.21,283.59,283.21,285.9
60926,309.15,287.34,285.15,283.28,283.15,283.46,283.21,285.96
61064,309.15,287.34,285.15,283.28,283.15,283.46,283.21,285.96
61201,309.34,287.4,285.09,283.28,283.21,283.53,283.21,285.9
61338,309.34,287.4,285.15,283.28,283.21,283.53,283.21,285.9
61476,309.4,287.4,285.15,283.34,283.21,283.53,283.21,285.9
61614,309.59,287.4,285.09,283.34,283.21,283.53,283.21,285.9
61751,309.59,287.4,285.09,283.34,283.21,283.53,283.21,285.9
61888,309.71,287.46,285.15,283.34,283.21,283.46,283.21,285.9
62025,309.71,287.46,285.15,283.34,283.21,283.46,283.21,285.9
62162,309.84,287.46,285.15,283.34,283.21,283.53,283.21,285.9
62300,309.84,287.46,285.15,283.34,283.21,283.53,283.15,285.9
62438,310.03,287.46,285.15,283.34,283.21,283.46,283.15,285.9
62575,310.15,287.53,285.15,283.34,283.21,283.46,283.15,285.9
62712,310.15,287.53,285.15,283.34,283.21,283.53,283.15,285.9
62850,310.34,287.53,285.15,283.34,283.21,283.53,283.21,285.9
62987,310.34,287.59,285.15,283.34,283.21,283.53,283.15,285.9
63124,310.4,287.59,285.15,283.34,283.21,283.46,283.15,285.9
63261,310.4,287.59,285.15,283.34,283.21,283.46,283.15,285.9
63399,310.59,287.59,285.15,283.34,283.15,283.53,283.15,285.9
63537,310.59,287.65,285.15,283.34,283.15,283.53,283.15,285.9
63674,310.71,287.65,285.15,283.34,283.21,283.46,283.15,285.84
63811,310.84,287.65,285.21,283.34,283.21,283.46,283.15,285.84
63948,310.84,287.65,285.21,283.4,283.21,283.46,283.15,285.84
64086,310.96,287.65,285.21,283.4,283.21,283.53,283.15,285.84
64223,310.96,287.71,285.21,283.34,283.21,283.53,283.21,285.84
64361,311.15,287.71,285.21,283.34,283.21,283.46,283.21,285.9
64498,311.15,287.78,285.21,283.34,283.21,283.46,283.15,285.9
64635,311.28,287.78,285.21,283.34,283.21,283.46,283.15,285.78
64773,311.4,287.78,285.15,283.34,283.21,283.46,283.15,285.78
